CODCONTA,CODMOV,CODTIPMOV,DATA,VALOR,OBS,DOCUMENTO,CODFORNEC,DATAEMISSAO,MES,IDREMESSA,VINCULADO,SALDOANT,SALDOATUAL,CODCAIXA_LANC,IDCODDESP_LANC,DEPOSITO_VINC,DESBLOQ_DEP,SELECIONADO,ORIGEM_LANC,ORIGEM_IDLANC,CONC_CONCILIADO,CONC_DATA,CONC_NUMERO,CONC_VALOR,CONC_OPERACAO,CONC_TIPOCONC
2,53,10,2023-06-30,0.77,TARIFA COM R LIQUIDACAO,,,,06/2023,0,0,0,0,0,0,0,,0,,,1,2023-06-30,COB000001 -14,0.77,-,4
1,36,3,2023-06-29,950,TRANSFERÊNCIA ENVIADA - 29/06 FACEMS,00040151,,,06/2023,0,0,0,0,0,37,0,,0,,,1,2023-06-29,20230629195000,950,-,2
2,44,99,2023-06-23,3800,DEB.CTA.FATURA,,,,06/2023,0,0,0,0,0,42,0,,0,,,1,2023-06-23,504021759 -4,3800,-,4
1,37,99,2023-06-29,304,OUTROS MATERIAIS DIDATICOS BALÃO E EVA,,0,,06/2023,0,0,,,,27,,,,,,1,2023-06-29,20230629130400,304,-,3
2,54,10,2023-07-03,43.54,IOF S/ OPER. CREDITO PJ,,,,07/2023,0,0,0,0,0,48,0,,0,,,1,2023-07-03,C01033374 -1,43.54,-,4
1,38,99,2023-06-29,315,UNIFORMES 12 CAMISETAS FEMENINAS 2 TECNI,,0,,06/2023,0,0,,,,21,,,,,,1,2023-06-26,20230626131500,315,-,4
2,45,8,2023-06-26,0.77,TARIFA BAIXA DE TITULOS,,,,06/2023,0,0,0,0,0,43,0,,0,,,1,2023-06-26,COB000001 -5,0.77,-,4
2,289,99,2023-07-17,180,Segurança patrimonial/ pessoal RONDA NOT,,0,,07/2023,0,0,,,,202,,,,,,1,2023-07-17,PIX_DEB   52855,180,-,3
2,46,5,2023-06-26,40,RECEBIMENTO PIX PROVA NELSON KEINICHI,,,,06/2023,0,0,0,0,0,0,0,,0,,,1,2023-06-26,PIX_CRED  09690,40,+,2
2,47,5,2023-06-27,80,RECEBTO PIX LILLIAN KELL PROVA,,,,06/2023,0,0,0,0,0,0,0,,0,,,1,2023-06-27,PIX_CRE   89905,80,+,2
1,261,4,2023-06-29,1210.85,Venda Depósito Bancário,,0,,06/2023,0,0,,,,,,,,VD,36,1,2023-06-29,202306290121085,1210.85,+,3
2,49,99,2023-06-28,314.07,DEBITO CONVENIOS,,,,06/2023,0,0,0,0,0,44,0,,0,,,1,2023-06-28,SEG ICATU ID 93,314.07,-,2
2,50,99,2023-06-30,155,Certificado digital CERTIFICADO DIGITAL ,,0,,06/2023,0,0,,,,45,,,,,,1,2023-06-30,PIX_DEB   47621,155,-,3
2,51,99,2023-07-03,180,Equipamentos escolares ,,0,,07/2023,0,0,,,,46,,,,,,1,2023-06-30,VE0266604 TRES,180,-,4
2,52,99,2023-07-03,200,Equipamentos escolares UNIFORME FEMENINO,,0,,07/2023,0,0,,,,47,,,,,,1,2023-06-30,PIX_DEB   33498,200,-,4
2,290,99,2023-07-17,200,Materiais elétricos INSTALAÇAO FESTA JUN,,0,,07/2023,0,0,,,,203,,,,,,1,2023-07-17,PIX_DEB   04785,200,-,3
2,56,8,2023-07-03,1.54,TARIFA BAIXA DE TITULOS,,,,07/2023,0,0,0,0,0,49,0,,0,,,1,2023-07-03,COB000002 -3,1.54,-,4
1,57,8,2023-06-29,1,DÉBITO SERVIÇO COBRANÇA - TAR. AGRUPADAS,79017019,,,06/2023,0,0,0,0,0,50,0,,0,,,1,2023-06-29,202306291100,1,-,2
1,58,10,2023-06-29,3,TARIFA PIX ENVIADO - TAR. AGRUPADAS - OC,00049155,,,06/2023,0,0,0,0,0,51,0,,0,,,1,2023-06-29,202306291300,3,-,2
1,59,2,2023-06-29,1482.15,BB RENDE FÁCIL,9903,,,06/2023,0,0,0,0,0,0,0,,0,,,1,2023-06-29,202306290148215,1482.15,+,2
2,81,99,2023-07-05,443.19,Emprestimos bancários AMORTIZAÇAO EMPRES,,0,,07/2023,0,0,,,,64,,,,,,1,2023-07-05,C01031220 -28,443.19,-,4
2,61,10,2023-07-03,43.54,IOF S/ OPER. CREDITO PJ,,,,07/2023,0,0,0,0,0,53,0,,0,,,1,2023-07-03,C01033374 -15,43.54,-,4
2,219,10,2023-07-10,1.44,SEGURO PRESTAMISTA,,,,07/2023,0,0,0,0,0,173,0,,0,,,1,2023-07-10,C01031220 -3,1.44,-,2
2,62,6,2023-07-03,580,LIQ.COBRANCA SIMPLES,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-03,COB000001 -16,580,+,4
2,63,10,2023-07-03,1.54,TARIFA BAIXA DE TITULOS,,,,07/2023,0,0,0,0,0,54,0,,0,,,1,2023-07-03,COB000002 -10,1.54,-,2
2,291,4,2023-07-17,4725,Venda Depósito Bancário,,0,,07/2023,0,0,,,,,,,,VD,61,1,2023-07-17,NCX001115 24227,4725,+,3
2,64,5,2023-07-03,40,RECEBIMENTO PIX RAFAELA PARCIO M RIB,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-03,PIX_CRED  01134,40,+,2
2,65,99,2023-07-03,100,PAGAMENTO PIX,,,,07/2023,0,0,0,0,0,55,0,,0,,,1,2023-07-03,PIX_DEB   05007,100,-,2
2,83,99,2023-07-05,1186.67,Emprestimos bancários AMORTIZAÇAO CONTRA,,0,,07/2023,0,0,,,,65,,,,,,1,2023-07-05,C01031220 -30,1186.67,-,4
1,79,99,2023-07-05,4319,Emprestimos bancários EMPRESTIMO FCO,,0,,07/2023,0,0,,,,62,,,,,,1,2023-07-04,202307041431900,4319,-,4
2,67,99,2023-07-04,50,Manutenção e conservação predial REDE QU,,0,,07/2023,0,0,,,,56,,,,,,1,2023-07-03,PIX_DEB   04785,50,-,4
2,84,99,2023-07-05,150,Direitos de uso de softwares POLO ELETRO,,0,,07/2023,0,0,,,,61,,,,,,1,2023-07-05,50051537000159,150,-,3
2,68,99,2023-07-04,138.31,Conservação e limpeza PRODUTOS LIMPEZA,,0,,07/2023,0,0,,,,57,,,,,,1,2023-07-03,PIX_DEB   02702,138.31,-,4
2,292,99,2023-07-17,506,Pagamento de terceiros - FACEMS/DOU BAND,,0,,07/2023,0,0,,,,209,,,,,,1,2023-07-17,PIX_DEB   26000,506,-,3
2,69,10,2023-07-03,3.76,IOF BASICO CH PJ,,,,07/2023,0,0,0,0,0,58,0,,0,,,1,2023-07-03,Iof.BAsic -8,3.76,-,4
2,293,99,2023-07-17,200,Segurança patrimonial/ pessoal SEGURANÇA,,0,,07/2023,0,0,,,,210,,,,,,1,2023-07-17,PIX_DEB   11202,200,-,3
2,70,10,2023-07-03,31.63,IOF ADICIONAL PJ-CH. ESPE,,,,07/2023,0,0,0,0,0,59,0,,0,,,1,2023-07-03,Iof.ADic. -9,31.63,-,4
2,71,5,2023-07-04,40,PIX DAYENNE S MARTINEZ PROVA,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-04,PIX_CRED  71211,40,+,2
2,72,5,2023-07-04,80,PIX 2 PROVAS VENANCIO E MANFRE,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-04,PIX_CRED  14984,80,+,2
2,73,5,2023-07-04,40,PIX 1 PROVA  LUIS CLAUDIO PEDROZO,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-04,PIX_CRED  02812,40,+,2
2,74,5,2023-07-04,30,PIX 1 PROVA WASHINGTON JOSE FERREIRA ,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-04,PIX_CRED  03717,30,+,2
1,77,99,2023-07-04,2581.58,Emprestimos bancários EMPERSTIMO FCO,,0,,07/2023,0,0,,,,60,,,,,,1,2023-07-03,202307031258158,2581.58,-,4
1,78,2,2023-07-03,52.14,BB RENDE FÁCIL,9903,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-03,2023070305214,52.14,+,2
2,86,99,2023-07-05,35.95,Manutenção e conservação predial ,,0,,07/2023,0,0,,,,63,,,,,,1,2023-07-05,PIX_DEB   75104,35.95,-,3
1,295,4,2023-07-17,3959.43,Venda Depósito Bancário,,0,,07/2023,0,0,,,,,,,,VD,62,1,2023-07-17,202307170395943,3959.43,+,3
2,87,99,2023-07-05,4.05,Emprestimos bancários AMORTIZAÇAO CONTRA,,0,,07/2023,0,0,,,,66,,,,,,1,2023-07-05,C01031220 -34,4.05,-,4
1,88,7,2023-07-05,0.17,FCO LIBERAÇÃO,95000139,,,07/2023,0,0,0,0,0,77,0,,0,,,1,2023-07-05,202307051017,0.17,-,2
1,107,10,2023-07-06,0.32,FCO LIBERAÇÃO,95000149,,,07/2023,0,0,0,0,0,87,0,,0,,,1,2023-07-06,202307061032,0.32,-,2
1,89,99,2023-07-05,3999.87,FCO LIBERAÇÃO,95000140,,,07/2023,0,0,0,0,0,78,0,,0,,,1,2023-07-05,202307051399987,3999.87,-,2
1,296,99,2023-07-17,150,Despesas de copa COPO DESCARTAVEL,,0,,07/2023,0,0,,,,75,,,,,,1,2023-07-17,20230717115000,150,-,3
1,91,99,2023-07-06,97.74,Fretes s/ materiais didáticos (csp) FRET,,0,,07/2023,0,0,,,,67,,,,,,1,2023-07-06,2023070619774,97.74,-,3
1,92,99,2023-07-06,97.5,Fretes s/ materiais didáticos (csp) FRET,,0,,07/2023,0,0,,,,68,,,,,,1,2023-07-06,2023070619750,97.5,-,3
1,93,99,2023-07-06,109.9,Direitos de uso de softwares ASSINATURA ,,0,,07/2023,0,0,,,,69,,,,,,1,2023-07-06,20230706110990,109.9,-,3
1,94,99,2023-07-06,419.84,Lanches e refeições (csp) 2 FARDOS DE CA,,0,,07/2023,0,0,,,,3,,,,,,1,2023-07-06,20230706141984,419.84,-,3
1,95,99,2023-07-06,1413.05,Agua e esgotos (csp) AGUA AV. C. GRANDE ,,0,,07/2023,0,0,,,,73,,,,,,1,2023-07-06,202307061141305,1413.05,-,3
1,108,99,2023-07-06,2244.25,FCO LIBERAÇÃO,95000150,,,07/2023,0,0,0,0,0,88,0,,0,,,1,2023-07-06,202307061224425,2244.25,-,2
1,298,99,2023-07-17,1724.88,Apostilas (csp) APOSTILAS DE ESPANHOL,,0,,07/2023,0,0,,,,38,,,,,,1,2023-07-17,202307171172488,1724.88,-,3
1,109,10,2023-07-06,3,DÉBITO SERVIÇO COBRANÇA - TAR. AGRUPADAS,79017019,,,07/2023,0,0,0,0,0,89,0,,0,,,1,2023-07-06,202307061300,3,-,2
1,299,99,2023-07-17,5017.41,Outros Materiais Didaticos MATERIAL ENSI,,0,,07/2023,0,0,,,,70,,,,,,1,2023-07-17,202307171501741,5017.41,-,3
1,110,10,2023-07-06,1,DÉBITO SERVIÇO COBRANÇA - TAR. AGRUPADAS,79017019,,,07/2023,0,0,0,0,0,90,0,,0,,,1,2023-07-06,202307061100,1,-,2
1,96,2,2023-07-06,1000,TRANSFERÊNCIA RECEBIDA - CEN PG BOLETOS,00049586,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-06,202307060100000,1000,+,2
2,105,10,2023-07-06,37.95,TARIFAS - PGTO FOLHA,,,,07/2023,0,0,0,0,0,85,0,,0,,,1,2023-07-06,TARIFA    CTA.,37.95,-,2
1,300,99,2023-07-17,1440,Materiais elétricos CONTEL,,0,,07/2023,0,0,,,,201,,,,,,1,2023-07-17,202307171144000,1440,-,3
2,98,99,2023-07-05,650,AMORTIZACAO CONTRATO,,,,07/2023,0,0,0,0,0,79,0,,0,,,1,2023-07-05,C01031220 -36,650,-,4
2,101,99,2023-07-06,454.66,LIQUIDACAO DE PARCELA,,,,07/2023,0,0,0,0,0,80,0,,0,,,1,2023-07-06,C01031220 -39,454.66,-,4
2,102,99,2023-07-06,48.5,OUTROS MATERIAIS DIDATICOS GARRAFAS VOLE,,0,,07/2023,0,0,,,,81,,,,,,1,2023-07-06,CX277516  73442,48.5,-,3
2,103,99,2023-07-06,24.06,Material de limpeza SACO LIXO,,0,,07/2023,0,0,,,,82,,,,,,1,2023-07-06,CX279660  00154,24.06,-,3
2,104,99,2023-07-06,100,Combustível e lubrificantes (csp) VIAGEM,,0,,07/2023,0,0,,,,83,,,,,,1,2023-07-06,PIX_DEB   49010,100,-,3
2,106,99,2023-07-07,170,Uniformes 3 CAMISETAS ,,0,,07/2023,0,0,,,,86,,,,,,1,2023-07-07,PIX_DEB   13815,170,-,3
1,111,10,2023-07-06,1.5,DÉBITO SERVIÇO COBRANÇA - TAR. AGRUPADAS,79017019,,,07/2023,0,0,0,0,0,91,0,,0,,,1,2023-07-06,202307061150,1.5,-,2
1,112,10,2023-07-06,3.5,DÉBITO SERVIÇO COBRANÇA - TAR. AGRUPADAS,79017019,,,07/2023,0,0,0,0,0,92,0,,0,,,1,2023-07-06,202307061350,3.5,-,2
2,121,99,2023-07-07,40,PAGAMENTO PIX BOLO LEONICE BENICHIO,,,,07/2023,0,0,0,0,0,99,0,,0,,,1,2023-07-07,CX309014  57252,40,-,4
1,113,10,2023-07-06,185,TARIFA PACOTE DE SERVIÇOS - COBRANÇA REF,04312034,,,07/2023,0,0,0,0,0,93,0,,0,,,1,2023-07-06,20230706118500,185,-,2
2,230,99,2023-07-11,4634.09,Pagamento de salário (csp) ELIZE PIOVEZA,,0,,07/2023,0,0,,,,179,,,,,,1,2023-07-11,ND8----04 -43,15816.36,-,4
1,114,99,2023-07-06,290.78,BB RENDE FÁCIL,9903,,,07/2023,0,0,0,0,0,94,0,,0,,,1,2023-07-06,20230706129078,290.78,-,2
2,122,10,2023-07-10,1.44,SEGURO PRESTAMISTA,,,,07/2023,0,0,0,0,0,100,0,,0,,,1,2023-07-10,C01031220 -46,1.44,-,4
1,116,2,2023-07-07,1600,TRANSFERÊNCIA RECEBIDA - CEN PAGAR BOLET,00049586,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-07,202307070160000,1600,+,2
1,117,2,2023-07-07,3406.4,TRANSFERÊNCIA RECEBIDA - CEN PAGAR BOLET,00049586,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-07,202307070340640,3406.4,+,2
1,118,99,2023-07-07,125.95,Materiais elétricos MATERIAIS ELETRICOS,,0,,07/2023,0,0,,,,28,,,,,,1,2023-07-07,20230707112595,125.95,-,3
1,119,99,2023-07-07,5010.93,FGTS (csp) FGTS ,,0,,07/2023,0,0,,,,84,,,,,,1,2023-07-07,202307071501093,5010.93,-,3
2,123,10,2023-07-10,2.31,TARIFA BAIXA DE TITULOS,,,,07/2023,0,0,0,0,0,101,0,,0,,,1,2023-07-10,COB000003 -4,2.31,-,4
1,120,99,2023-07-07,3406.4,Pagamento de salario FABRICIO DA ROCHA B,,0,,07/2023,0,0,,,,95,,,,,,1,2023-07-07,202307071340640,3406.4,-,3
2,124,99,2023-07-10,721.08,AMORTIZACAO CONTRATO,,,,07/2023,0,0,0,0,0,102,0,,0,,,1,2023-07-10,C11034380 -48,721.08,-,4
2,125,2,2023-07-10,73000,RECEBIMENTO PIX FOLHA PAGAMENTO,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-10,PIX_CRED  36167,73000,+,2
2,126,2,2023-07-10,34300,TED FOLHA PAGAMENTO ,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-10,404248    08645,34300,+,2
2,127,3,2023-07-10,104800,TRANSF ENTRE CONTAS CEN FOLHA,,,,07/2023,0,0,0,0,0,103,0,,0,,,1,2023-07-10,SI01392   08645,104800,-,2
2,128,99,2023-07-10,1359.18,LIQUIDACAO DE PARCELA,,,,07/2023,0,0,0,0,0,104,0,,0,,,1,2023-07-10,C11034380 -52,1359.18,-,4
2,129,2,2023-07-10,630,RECEBIMENTO PIX HELLEN BARBOSA DIF SALAR,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-10,PIX_CRED  04591,630,+,2
2,130,10,2023-07-10,39.9,CESTA DE RELACIONAMENTO,,,,07/2023,0,0,0,0,0,105,0,,0,,,1,2023-07-10,-54,39.9,-,4
2,131,2,2023-07-10,2000,RECEBIMENTO PIX CEI PAGAR FOLHA,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-10,PIX_CRED  04571,2000,+,2
2,132,2,2023-07-10,12000,RECEBIMENTO PIX E.C.C. FOLHA,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-10,PIX_CRED  04535,12000,+,2
2,133,2,2023-07-10,1000,RECEBIMENTO PIX UNOPAR FOLHA,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-10,PIX_CRED  36167,1000,+,2
2,134,3,2023-07-10,370,TRANSF ENTRE CONTAS CEN FOLHA,,,,07/2023,0,0,0,0,0,106,0,,0,,,1,2023-07-10,SI02202   08645,370,-,2
2,135,99,2023-07-10,59,MATRICULAS-NAVIRAI NATHASHA PINHEIRO,,,,07/2023,0,0,0,0,0,107,0,,0,,,1,2023-07-10,38733648000140,59,-,2
2,136,5,2023-07-10,40,PIX PROVA NAIARA K SILVA SALVA,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-10,PIX_CRED  05004,40,+,2
2,137,99,2023-07-10,59,MATRICULA-MONICA ARAUJO DE MORAES,,,,07/2023,0,0,0,0,0,108,0,,0,,,1,2023-07-10,38733648000140,59,-,2
2,163,99,2023-07-10,9925.6,DEB. FOLHA PAGTO,,,,07/2023,0,0,0,0,0,134,0,,0,,,1,2023-07-10,ND8----04 -31,9925.6,-,2
2,138,99,2023-07-10,59,MATRICULA-GLORIA ESTER NOGUEIRA DA FONSE,,,,07/2023,0,0,0,0,0,109,0,,0,,,1,2023-07-10,38733648000140,59,-,2
2,139,99,2023-07-10,2226.27,Pagamento de salario ADILSON ALVES DE SO,,0,,07/2023,0,0,,,,110,,,,,,1,2023-07-10,ND8----04 -20,5870.8,-,4
2,140,99,2023-07-10,1076.89,Pagamento de salario ANA CARLA PEREIRA,,0,,07/2023,0,0,,,,111,,,,,,1,2023-07-10,ND8----04 -20,5870.8,-,4
2,141,99,2023-07-10,1901.69,Pagamento de salario KERGINALDO DE MIRAN,,0,,07/2023,0,0,,,,112,,,,,,1,2023-07-10,ND8----04 -20,5870.8,-,4
2,142,99,2023-07-10,665.95,Pagamento de salario MICHELY CINQUINI FR,,0,,07/2023,0,0,,,,113,,,,,,1,2023-07-10,ND8----04 -20,5870.8,-,4
2,164,99,2023-07-10,5870.8,DEB. FOLHA PAGTO,,,,07/2023,0,0,0,0,0,135,0,,0,,,1,2023-07-10,ND8----04 -18,5870.8,-,2
2,143,99,2023-07-10,2300.21,Pagamento de salario ANDRESSA CREMONEZE,,0,,07/2023,0,0,,,,114,,,,,,1,2023-07-10,PIX_DEB   06588,2300.21,-,3
2,144,99,2023-07-10,2813.22,Pagamento de salario GLAUCE ANGELICA MAZ,,0,,07/2023,0,0,,,,115,,,,,,1,2023-07-10,PIX_DEB   71239,2813.22,-,3
2,145,99,2023-07-10,280,Pagamento de salario INGRYD DA SILVA ROD,,0,,07/2023,0,0,,,,116,,,,,,1,2023-07-10,PIX_DEB   07179,280,-,3
2,146,99,2023-07-10,400.02,Pagamento de salario LILLIAN KELLY,,0,,07/2023,0,0,,,,117,,,,,,1,2023-07-10,CX925322  89905,400.02,-,3
2,147,99,2023-07-10,255,Pagamento de salario ROSITALE CARVALHO F,,0,,07/2023,0,0,,,,118,,,,,,1,2023-07-10,PIX_DEB   07133,255,-,3
2,148,99,2023-07-10,1707.32,Pagamento de salario VALDIRENE SIRINEU D,,0,,07/2023,0,0,,,,119,,,,,,1,2023-07-10,PIX_DEB   80173,1707.32,-,3
2,149,99,2023-07-10,1280.82,Pagamento de salario ELISÂNGELA VERICIMA,,0,,07/2023,0,0,,,,120,,,,,,1,2023-07-10,PIX_DEB   00823,1280.82,-,3
2,150,99,2023-07-10,700,Pagamento de salario MARIA FERNANDA SAMP,,0,,07/2023,0,0,,,,121,,,,,,1,2023-07-10,PIX_DEB   07372,700,-,3
2,151,5,2023-07-10,20000,RECEB. PIX SUPER BELEZA,,,,07/2023,0,0,0,0,0,0,0,,0,,,1,2023-07-10,PIX_CRED  44067,20000,+,2
2,152,99,2023-07-10,520,Pagamento de salario SHIRLEY CARLA DE SO,,0,,07/2023,0,0,,,,122,,,,,,1,2023-07-10,PIX_DEB   05874,520,-,3
2,153,99,2023-07-10,1190.63,Pagamento de salario DAMARYS GRACITE FER,,0,,07/2023,0,0,,,,123,,,,,,1,2023-07-10,ND8----04 -33,9925.6,-,4
2,154,99,2023-07-10,1768.01,Pagamento de salario LEANDRO LOPES CORRE,,0,,07/2023,0,0,,,,124,,,,,,1,2023-07-10,ND8----04 -33,9925.6,-,4
2,155,99,2023-07-10,2406.13,Pagamento de salario LEILIANE PEREIRA SI,,0,,07/2023,0,0,,,,125,,,,,,1,2023-07-10,ND8----04 -33,9925.6,-,4
2,156,99,2023-07-10,1442.47,Pagamento de salario NIQUIELI DE ALMEIDA,,0,,07/2023,0,0,,,,126,,,,,,1,2023-07-10,ND8----04 -33,9925.6,-,4
2,157,99,2023-07-10,1897.36,Pagamento de salario RAMILDO APARECIDO D,,0,,07/2023,0,0,,,,127,,,,,,1,2023-07-10,ND8----04 -33,9925.6,-,4
2,158,99,2023-07-10,1221,Pagamento de salario LEONICE BENICHIO DO,,0,,07/2023,0,0,,,,128,,,,,,1,2023-07-10,ND8----04 -33,9925.6,-,4
2,159,99,2023-07-10,3981.11,Pagamento de salario JESSICA DE BARROS F,,0,,07/2023,0,0,,,,129,,,,,,1,2023-07-10,PIX_DEB   03310,3981.11,-,3
2,160,99,2023-07-10,2490,Pagamento de salario VIRGINIA MORAES DOS,,0,,07/2023,0,0,,,,130,,,,,,1,2023-07-10,PIX_DEB   61485,2490,-,3
